avg_wind_speed,sol_rad,max_air_temp,min_air_temp,avg_air_temp,avg_rel_hum,avg_dewpt_temp,precip,pot_evapot,avg_soiltemp_4in_sod,OUTPUT
6.7,3.33,54.5,45.1,50.4,80.4,44.6,0.01,0.02,54.1,-8.6
4.1,6.71,47,40.6,43.3,73.7,35.4,0,0.04,52,-7.4
4,8.35,51.2,38,45.1,87.2,41.5,0.02,0.05,51.3,-7.1
4.9,1.11,50.9,45.5,48.4,94.1,46.8,0,0.01,51.8,-8.1
15.9,0.59,45.7,27.2,36,95.3,34.7,1.74,0,47.5,-5.6
4.5,11.92,38.3,18.1,29.7,78,23.4,0.24,0.06,43.2,-1.7
8.5,5.93,50.7,37.6,45,74,37,0,0.04,43.2,-1.8
13.1,0.86,50.6,37.2,44.1,83.6,39.2,0.39,0.01,45.5,-3.8
5.7,8,42.5,32.2,38.1,76.1,31.1,0,0.04,44.6,-2.7
5.4,0.94,39.9,37.8,38.7,93,36.9,0,0.01,44.2,1.8
7.3,0.97,40,31.9,37,96.3,36,0.58,0.01,43.7,3.8
6,10.45,41.7,28.4,32.9,85.1,28.6,0.02,0.06,41.9,1.3
4.1,9.55,45.2,29,36.3,83.1,31.5,0,0.06,41.5,2.9
4.9,9.81,46.5,27.8,36.9,78,30.4,0.01,0.06,41.4,2.8
6.5,9.27,55.8,34.5,41.4,73,32.9,0,0.06,41.7,0.7
4.5,5.6,51.2,32.6,42.1,80.9,36.3,0.24,0.03,41.9,-0.4
5.3,4.69,55.7,46.2,51.3,93,49.3,0,0.03,46,-7
8.9,1.67,52.2,36,45.3,88.1,41.9,0.8,0.01,47.5,-11.9
5,6.75,44.5,30.8,38.7,86.8,35.1,0,0.04,43.2,-9
4.7,6.58,55.2,39.3,44.8,85.7,40.6,0,0.04,44.4,-10.2
7.4,1.19,45.4,37.6,41.5,89.6,38.7,0.11,0.01,44.2,-9.7
9.1,2.26,38.8,34.6,36.9,80.9,31.5,0.04,0.01,42.4,-6.3
11.8,5.48,49.4,33.8,39.9,70,30.6,0,0.04,41.5,-6.6
13.7,6.69,36,20.5,27.3,64.2,16.9,0,0.03,39,-6.1
6.2,9.31,29.4,16.8,21.6,72.1,13.8,0,0.04,35.6,-2.9
8.9,9.46,37.3,19.5,28.4,70.7,19.8,0,0.05,34.2,-1.7
8.9,8.55,46.8,29.2,36.1,62.7,24.3,0,0.05,34.2,-2.4
3.2,9.08,38.4,21.1,30.4,77.8,23.9,0,0.05,34.5,-3.8
10.6,7.99,47.5,25.5,37.4,62.6,25.3,0,0.05,36.1,-5.5
10.6,9.75,25.7,8.2,13.8,51,-1.3,0,0.03,34.9,-3.6
11.9,9.21,31.4,13,23.4,52.6,8.4,0,0.04,32.9,-2.2
7.7,6.24,40,19.8,29.8,65.2,19.2,0,0.03,32.7,-1.2
11.1,4.61,19.8,11.9,14.7,58.8,2.8,0,0.02,32.5,-0.9
10.2,9.67,19.2,6.7,12.2,55,-1.1,0,0.03,31.8,-0.2
6.2,9.78,15.9,0,9,54.5,-4.5,0,0.03,30.7,5.8
7,5.84,31.1,12.6,22.5,57.1,9.3,0.01,0.03,30.6,8.4
4.7,6.06,31,16.8,25.7,68.1,16.5,0,0.03,31.3,12.2
6.4,8.33,34.2,15.1,24.4,68.5,15.1,0.01,0.04,30.7,11.2
10.2,4.98,49.8,26.9,37.4,63.8,26.1,0,0.03,31.5,8.8
3.9,7.04,55.1,32.9,43.5,78.7,37,0,0.05,31.6,6.9
9.8,4.93,58.5,36.8,49.3,88.5,45.9,0,0.04,31.6,4.5
8.2,8.48,65.2,43.1,54.9,76.3,47.3,0,0.07,36.5,-1.4
7.1,1.52,55.1,35.6,43,88,39.6,0.04,0.01,39,-4.3
6.7,1.59,59.2,40,49.5,95.5,48.2,0.23,0.01,43.5,-8.8
7.5,0.98,40.8,36.8,39,95.5,37.9,1.39,0.01,41.9,-6.5
6.5,0.94,38,34.9,36.5,97.8,36,0.99,0,40.3,-3.3
10.7,1.04,37.1,30.3,33.1,94.2,31.6,1.31,0.01,38.5,4.5
7.9,2.32,30.5,19.4,23.7,87.2,20.5,0.02,0.01,36.1,6.9
4.6,2.74,30.8,20.2,26.6,87.9,23.5,0.15,0.01,35.1,1.6
5.2,1.78,30.1,26,28.2,87.8,25,0,0.01,34.7,-0.2
7.8,6.98,41.9,29.8,35.1,89.3,32.2,0.01,0.04,34.7,-1.1
5.1,1.37,36,32.1,33.6,91.9,31.5,0.02,0.01,35.4,-2.1
3.7,1.37,40.8,34.9,37,97.9,36.5,0.87,0.01,37,-4.1
8.2,5.01,65,40.3,55.9,89.8,52.9,0.99,0.04,43,-10.3
10.8,1.35,53.7,11.1,30,88.8,27.1,0.96,0.01,43,-10.3
7.7,9.4,12.6,4.3,9,67.6,0.5,0.01,0.03,36.7,-4
7.7,6.83,14.3,10.6,12.7,65.9,3.4,0,0.02,34.5,-1.8
7.2,11.27,13.8,3.4,9.3,67,0,0,0.04,33.6,-1.4
3.3,11.96,18.9,-0.1,9,71.3,1.2,0.01,0.04,33.3,-1.3
8.6,10.58,27.4,4.7,15.4,66.4,6.1,0.01,0.04,32.9,-0.9
9,6.75,40.6,26.2,32.2,74.7,25,0.01,0.04,32.7,-0.5
5.4,5.64,37.9,26.6,31.5,85.6,27.5,0.01,0.03,32.7,-0.3
8.3,8.77,30.5,21,26.6,79.8,21.2,0.01,0.04,32.7,-0.3
14.1,6.3,32.7,9.8,20.8,77.7,14.9,0.03,0.02,32.7,-0.3
6,8.82,25.3,11.3,19.4,64,9.1,0,0.04,32.2,0.2
7.4,10.91,44.6,23.8,31.6,65.4,20.8,0,0.06,32,0.5
4.4,11.41,53.5,26,39.7,72.9,31.1,0.01,0.07,32,0.5
9,2.34,42.7,25.6,34.7,79.7,28.9,0.01,0.01,32.2,0.3
8,11.59,29.1,18.9,24.4,71.3,16.2,0,0.05,32.4,0.1
5.4,6.05,33.2,17.1,25.3,69.2,16.5,0.01,0.03,32.4,0.3
4,2.08,33.3,28.8,30.7,91.8,28.4,0.24,0.01,32.4,2.7
3.9,11.63,35.2,17.3,28.8,83.7,24.3,0.02,0.06,32.4,5
3.7,5.11,31.3,22,27.5,78,21.6,0,0.02,32.5,8
5.5,12.45,34.4,22,28.2,77.9,22.1,0,0.06,32.5,6.2
6,6.17,34.4,23,28.8,82.7,24.1,0,0.03,32.5,4
3.8,13.16,48.8,21.6,34.7,79.9,28.6,0.01,0.08,32.5,2.7
3.8,12.9,56.2,27.6,40.5,81.4,34.7,0,0.08,32.7,2.5
5.5,12.15,54.5,34,43.9,74.4,35.8,0,0.08,35.1,2.1
5.9,2.63,49.6,41.7,45,77.3,38.1,0.24,0.02,37.4,3.8
7.2,1.65,49.3,34.5,44.4,94.7,43,0,0.01,40.5,3.9
6.1,1.89,35.7,30.9,33.3,95.5,32.2,0.13,0.01,38.7,6.6
6.8,1.76,32.1,24.9,29.3,93.2,27.5,0.1,0.01,36.5,5.9
7,11.03,28.9,17,22.8,79,17.2,0,0.05,35.2,3.8
6.3,14.53,46.7,22.6,34,74.5,26.6,0,0.08,35.2,2.4
4.1,10.31,53.7,31,43.2,73.7,35.2,0,0.07,37.2,-1.2
8.1,0.93,54.4,44,47.7,92,45.3,1.15,0.01,41.2,-3.4
10.3,10.62,55.3,43.2,48.2,76.9,41.2,0,0.07,44.4,-4.3
9.6,10.46,67.2,35,49.8,70.6,40.5,0,0.08,45.3,-6.1
7.9,12.66,40.9,29.9,34.5,66.7,24.1,0,0.07,42.4,-4.8
7.9,15.59,37.4,24.3,30.2,57.5,16.5,0,0.08,39,-1.2
5.5,15.71,34.1,20.7,27.1,59.8,14.5,0,0.07,37.6,2
5.7,4.97,35.3,21.2,29.8,78.5,23.7,0,0.03,36,4.1
8.6,3.45,54.8,33.3,43.5,91.2,41,0.14,0.02,37.8,2.1
5.6,2.47,42.3,34,37.4,86.4,33.8,0,0.01,40.1,-1.3
5.7,7.73,40.3,29,35.2,76.7,28.6,0,0.04,39.2,-2.7
2.7,8.39,37.9,23.6,32.2,76.6,25.3,0,0.04,37.6,-1.6
2.4,3.85,37.7,30.2,34.5,81.8,29.5,0,0.02,37.8,-0.8
5.9,16.39,52.8,31.3,40.8,71.1,31.5,0,0.1,39.6,0.9
6.6,15.16,45.8,29.7,37.6,71.8,28.9,0,0.09,40.1,2
3.6,5.71,45.3,32.3,38.8,80.7,33.3,0,0.03,39.9,2.7
11.6,6.05,40.6,23.8,29.1,82.7,24.4,0,0.03,38.8,6.2
10.4,12.24,29.9,22.5,25.5,72.6,17.8,0.12,0.06,36.5,3.8
4.5,15.87,38.8,20,28.8,64.4,17.8,0,0.08,36,2.8
5,17.88,43.9,22.1,33.3,61.4,21.2,0,0.1,37,0.6
6.9,16.64,59.5,31.8,46.4,60.4,32,0.01,0.11,40.5,-2
7.2,13.38,49.6,33.4,41,68.6,31.1,0,0.08,42.1,-3.3
9.8,17.36,69.3,34.2,51.8,49.8,32,0,0.14,42.6,-4.3
12.9,6.82,56.5,31.9,44.1,70.5,34.7,0,0.05,45,-6.7
5.8,9.01,36,25.1,28.9,67.9,19.6,0,0.04,40.3,-0.4
5.8,18.93,37.1,23.4,29.3,52.5,12.7,0,0.1,38.8,3.1
8.7,5.45,50.5,22,36.3,60.4,23.5,0.01,0.03,37.6,5.7
12.3,8.56,42.7,30.6,36.9,63.5,25,0,0.05,38.5,6.5
7.8,7.25,41.2,26.6,34,57.2,19.9,0,0.04,38.8,5.1
4.8,14.12,38.4,22.6,28.6,48,10.6,0,0.07,38.3,5.6
6.8,19.96,43.3,20.9,33.1,49.7,15.1,0,0.12,38.3,6.5
3.4,19.45,48.3,23.6,36.9,46.1,16.9,0,0.11,39.9,3.4
3.7,19.3,53.6,26.2,40.3,50.8,21.4,0,0.12,41.9,-0.5
7.4,19.88,58.7,30.7,46.4,40,21.9,0,0.14,43.3,-2.3
10.3,16.95,59.1,36.5,49.5,41.3,26.2,0,0.13,45,-2.9
9.7,4.27,50,33.4,38.3,72.7,30.2,0,0.02,43.9,-2.4
5.3,18.18,50.4,30.3,39.6,63.8,27.3,0,0.11,43.9,-0.7
9.5,19.06,53.1,31.3,41.9,53.3,24.8,0,0.12,44.8,0.3
11.7,2.3,40.6,36.6,38.5,78.4,32.2,0.91,0.01,43.3,4.7
7.7,2.79,39.3,36.8,37.9,90.4,35.4,0.15,0.02,41.4,10.8
4.2,4.59,41.6,31.8,38.8,88.7,35.8,0.19,0.03,41,12.2
7,2.48,44.2,36.8,40.5,92.8,38.7,0.26,0.01,42.1,9.3
6.1,4.22,42.3,34.9,38.8,89.9,36,0,0.02,41.5,8.7
8.1,14.48,51.1,37.2,43.5,74.9,35.6,0,0.09,43.2,9
7,22.41,66.3,37.1,50.4,52.8,33.1,0,0.17,45.1,10.1
7.4,16.79,68.6,44.1,57.7,58.3,42.8,0,0.14,48,9.4
12.6,18.05,73.9,51.5,62.6,59.1,47.8,0,0.15,52.2,5.5
9.9,23.03,65.8,46.7,54.7,51.1,35.6,0,0.18,53.2,2.4
6.1,8.07,57.7,39.4,49.8,59.2,35.6,0,0.06,51.4,3.6
9.2,22.62,60,36.3,47.8,53.1,30.4,0,0.16,50.2,7
3.9,22.32,71,39.5,56.5,41.3,30.9,0,0.18,52.2,7.7
7.4,22.22,78.9,46.5,63.7,45.6,40.1,0,0.2,55.2,4.9
9,16.03,74.2,53.5,64.4,62.2,50.9,0,0.14,57.4,1.4
4.6,7.69,68.1,56.1,61.7,75.6,53.8,0.03,0.06,57.7,-2.8
10.1,9.72,60.7,47.6,53.8,75.5,45.9,0,0.07,55.6,-1.8
7.3,24.92,70.2,40.8,56.7,46.1,33.6,0,0.2,55,1.1
4.8,22.55,76.2,46.9,62.8,46.7,40.8,0,0.19,57.2,0.9
6.3,18.4,81.3,56.4,70.2,52.3,51.1,0,0.17,59.9,0.9
6.3,5.68,73.2,60.1,65.8,69.7,55.6,0.04,0.05,60.1,2.3
6.8,7.43,66.2,47.6,56.3,87.6,52.5,1.16,0.06,58.8,4.7
12.5,21.72,61.3,42.3,50.4,60.2,36.1,0,0.16,54.9,9.9
7.2,25.63,65.8,38.4,53.4,47.3,33.1,0.36,0.19,53.8,8.3
3.8,25.52,71.3,41.1,56.7,42.3,32,0,0.2,56.1,4.2
2.9,23.7,76.7,41.3,61,49.8,39.7,0,0.2,58.1,-4.1
4.4,24.67,82.5,53.5,67.8,43.2,42.6,0,0.22,60.8,-9.4
6.1,21.68,82.9,55.1,70,47.8,47.5,0,0.2,62.4,-9.2
9.2,20.85,79.6,58.7,69.4,50.9,49.8,0,0.19,63.5,-9.2
8,18.25,81.3,52.5,69.8,58.7,54.1,0,0.16,64.8,-11.6
7.5,9.67,63.9,49.1,55.6,85.1,51.1,0.03,0.07,62.1,-8.9
8.9,9.34,67.7,43,53.8,84.1,48.7,0.02,0.08,60.3,-7.2
11.1,11.91,47.2,36.8,42.1,62.5,29.3,0.03,0.07,54,-0.6
10.3,26.65,55.9,33.4,45,46.3,25.2,0,0.18,51.4,1.8
8.6,20.22,65.5,39,51.6,53.6,33.1,0,0.16,53.2,-0.9
7.8,18.77,57,42.1,48,73.9,39.6,0.04,0.13,54.3,-1.8
7.1,18.46,59.2,40.8,49.5,57.4,33.4,0,0.13,53.2,0.8
3.2,10.53,56.7,45,51.6,63.5,39.4,0,0.08,53.2,3.8
5.9,5.62,53.9,44.7,48.7,73.6,40.6,0.03,0.04,53.1,6.6
6.7,24.16,59.3,42.1,50,51.6,29.8,0,0.18,53.4,8.8
8.3,23.23,56.1,37.5,47.1,45.2,26.2,0,0.16,53.2,11
7.3,19.37,52.2,35.6,43.9,52,27.1,0,0.13,52.3,12.8
4.1,22.79,59.6,30.7,46.4,53.6,27.3,0,0.16,52.5,13.7
2.1,28.1,65.9,32,50.9,45.3,25.3,0,0.21,54,14.4
4,26.57,73.4,46,59.7,45.2,36.5,0,0.22,57,6.7
5.9,23.43,78.7,51.3,65.8,46.8,43.7,0,0.2,59.7,6.3
5.7,23.08,83.3,54.8,70.9,47.9,48.7,0,0.21,62.2,2.6
7.3,24.37,84.4,59.8,73.2,45.4,49.6,0,0.23,64.2,-2.7
8.5,15.65,78.5,62.5,68.7,74.6,59.9,0.18,0.14,65.1,-4.1
5.6,24.65,89,58.2,75.2,58.7,57.2,0,0.23,66.2,-2.9
7.2,18.44,89,53,71.2,71.3,60.6,1.52,0.17,68.4,-3.1
8.3,10.81,69.7,52.4,61,84.6,56.3,0.01,0.08,63.7,4.7
6.9,20.93,80.4,58.3,70.2,72.6,60.3,0,0.19,66,-0.3
8.4,22.24,71.4,50.9,59.7,60,45,0,0.18,64.8,-0.4
8.5,22.17,59.1,46.2,52.2,54.2,36,0,0.16,61.5,5.4
2.7,28.53,66.8,38.2,54.7,56.1,37.8,0,0.21,61,6.3
5.9,28.72,75.1,50.7,63.7,51,43.9,0,0.24,63.3,3.8
5.5,25.05,80.7,57.3,70.2,45.2,46.4,0,0.22,65.3,1.4
5.3,25.04,86,61.2,73,65.8,59,1.38,0.23,68.4,-1.3
6.6,7.55,63,56.6,59.9,85.4,55.4,0,0.06,65.7,1.2
4.6,19.84,72.3,53.5,64.6,66.1,52.3,0,0.16,64.4,2.2
6.4,23.41,83.1,61.3,71.6,52.3,50.9,0,0.21,66.9,-1.8
8.3,27.63,81.8,57.4,70.5,44,45.9,0,0.25,67.3,-0.6
6.2,23.76,72.7,53.3,63.3,57.7,46.9,0,0.19,67.1,1.1
4.1,23.75,73.8,51.8,62.6,57,46,0,0.19,66.7,2.7
5.8,24.82,75.6,56.8,65.5,50.9,45.5,0,0.21,67.1,2.5
6.3,21.2,76.8,55.4,64.2,53,45.5,0.02,0.18,66.9,2.4
7.1,28.61,76.1,51.2,63.9,51.3,43.5,0,0.24,66.6,4.8
3.3,13.38,74,48.6,62.1,65.8,49.3,0.07,0.11,65.1,8.3
3,24.57,78.4,58.6,67.3,64.6,53.4,0,0.21,66.7,7.1
4.6,29.15,81,58.6,69.1,45.3,45.7,0,0.26,68.2,7
5.2,28.89,82.9,58.5,72.1,51.6,51.6,0,0.26,69.4,6.2
4.9,13.52,72.9,63,67.5,74.5,59,0.01,0.11,69.6,4.9
2.9,15.56,76.6,62.9,68.5,75.3,59.9,0.01,0.13,69.3,6.1
7.5,25.6,89.6,65.7,78.8,63.2,64.4,0,0.24,71.4,4.2
7.9,23.02,90.1,67.4,79.5,55.1,61.2,0,0.22,73.4,1.3
3.8,25.89,88,62.7,77,55.8,58.5,0,0.24,73.8,0.7
6.8,27.34,91.6,69.2,80.2,58.1,62.6,0,0.26,75.2,-2
6.1,19.78,90.2,66.3,74.8,73.4,64.9,0.35,0.19,75.6,-3.1
4.9,20.88,84,65.2,75.7,74.3,66.7,0.02,0.19,74.5,-1.5
4.9,20.45,87,70.1,77.4,70.6,66.2,0,0.19,75.4,-2.9
7,20.26,83.3,69.1,74.8,78.3,67.5,0,0.18,75.6,-2.9
3.9,17.32,79.3,66.8,72.9,79.8,66,0,0.15,74.7,-1.7
6.6,22.27,86.8,61.4,74.1,74.8,64.8,1.53,0.21,74.5,-0.7
9,22.35,78,66.6,71.6,69.9,60.6,0.01,0.2,73.2,1.6
8.9,28.07,80.6,65,72.7,61.1,58.1,0,0.25,72.5,3.8
4.1,28.74,79.7,59.3,69.6,57.1,52.3,0,0.25,73,4.4
4.3,27.36,77.3,54.1,67.1,58,50.7,0,0.23,72.5,6.3
5.1,28.14,77.7,56.8,66.9,61.8,52.9,0,0.24,72.7,6.5
3.5,29.59,78.2,55.8,68.9,62.5,54.9,0,0.26,73,6.5
2.5,29.15,81,56.8,70.7,62.5,56.3,0,0.26,73.8,6.3
3.5,26.94,86.6,59.8,75.2,59.7,59,0,0.25,74.8,5.3
2.9,27.24,88.3,68.3,79,62.9,64.8,0,0.25,76.3,4.5
5,25.27,90.4,72.9,81,61.2,66.2,0,0.24,77.4,3.7
4.8,27.8,93.1,71.6,82.9,61.9,67.6,0,0.27,78.8,0.9
3.5,19.35,90.6,73.2,80.4,69.8,69.4,0,0.18,79.2,-1.3
3.2,26.5,91,73.2,82.2,63.1,67.6,0,0.25,79.5,-1.8
4.4,25.54,89.5,72.9,81.3,64.6,67.6,0,0.24,80.1,-2.4
3.5,23.35,89.8,71.6,79.5,72.6,69.3,0.09,0.22,80.1,-3.3
3.9,25.49,92.7,69.3,82.6,68.6,70.3,0,0.24,80.8,-4.3
6.5,25.08,93.2,72.2,82.6,54.5,63.7,0,0.24,81.1,-3.9
7,28.9,82.5,65.6,74.5,54.6,56.1,0,0.26,79.7,-1.8
4,28.93,79.5,58,68.7,60.8,53.6,0,0.25,77.9,0
4.4,28.35,87.5,57.7,75.2,60.6,59.2,0,0.26,77.7,0.7
5.2,13.27,85.1,66.4,74.1,74.2,64.9,0.29,0.12,77.7,-0.7
4,26.51,85.9,63.8,73.8,65.4,59.4,0,0.24,76.8,-2
3,21.37,83.8,61.4,73.8,63.5,59.5,0,0.19,76.5,-1.5
4,24,88,65.5,75.4,66.9,62.6,0,0.22,77.2,-0.2
3.3,25.11,86.7,63.6,74.5,64.4,60.4,0,0.23,77.9,-0.5
3.4,28.18,87.9,62.1,76.5,59.4,59.7,0,0.26,77.9,1.1
4.1,28.08,87.8,61.8,76.8,53.7,57.6,0,0.26,78.4,2.4
6.5,11.63,82.8,68.4,74.1,65.3,61.2,0.33,0.11,77,3.2
7.8,4.38,74.2,68.6,71.2,90.3,68.4,0.36,0.04,74.8,4.7
5.7,13.93,84.3,66.8,74.1,80,67.3,0.02,0.13,75,6.5
5.7,22.1,87.9,69.2,77.2,75.1,68.5,0.03,0.2,77,6.1
3.3,14.75,85.6,70.1,76.1,80.5,69.3,0.09,0.13,77.4,6.3
2.5,22.98,90.1,69.9,79.3,74.8,70,0,0.21,79,4.1
5.8,26,88.9,72.8,80.8,76,72.1,0,0.24,80.8,3.4
5.6,17.16,87.3,72.4,77.4,84,72.1,1.12,0.16,80.2,5.1
2.7,27.01,85.8,66.1,77.7,68.6,65.8,0,0.25,79.5,4.7
5.8,26.55,91.1,72.9,82.6,74.1,73.2,0,0.25,81.5,-0.9
5.4,25.38,94.6,75.7,84.9,69.9,73.4,0,0.24,83.1,-4.7
4.9,27.76,88.3,72.3,80.8,72.6,70.9,0,0.26,83.7,-5.6
4.6,24.52,88.9,71.8,81,76,72.5,0,0.23,83.1,-3.6
6.3,26.84,96.5,77.3,86.4,68.7,74.1,0,0.26,84.2,-4.5
6.7,25.57,94.9,78.8,86.5,65.3,72.9,0,0.25,85.3,-5.4
8,17.99,92.2,66.3,79.9,72.1,69.4,0.04,0.17,84.2,-3.1
6.7,22.72,77.6,63,69.8,67.2,57.7,0,0.2,80.6,1.3
2.9,22.1,78.5,59.5,68.9,64.6,55.4,0,0.19,78.4,2.2
2.4,26.15,85,56.8,72.5,66.1,59.4,0,0.24,78.1,0.2
2.6,24.16,86,64.4,75.9,68.8,64.2,0,0.22,79.5,-1.6
2.4,15.97,85,66.1,75.9,74,66.6,0,0.15,79.7,-1.1
2.7,25.83,88.4,64.8,77.4,70.7,66,0,0.24,79.9,-0.2
4.4,26.27,90.6,68,80.6,64.6,66.7,0,0.25,81.1,-0.1
6.1,24.62,92,71.8,82.4,63.4,68,0,0.24,81.9,-0.4
5.2,10.65,87.1,71,78.4,73.6,69.3,0.66,0.1,80.6,1.1
4.6,14.9,79.9,66.3,73,67.2,61.3,0.02,0.13,78.3,2.7
3.5,23.32,83.4,65.3,73.9,65,60.6,0,0.21,77.9,2.5
2.3,26.86,86.7,62.3,75.2,63.8,60.4,0,0.25,78.6,-1.8
2.3,25.08,90.4,64.2,78.3,64.3,63.9,0,0.23,79.7,-4.9
4.2,24.33,92.6,69.1,81.5,63,66.7,0,0.23,81,-5.4
3.7,18.83,92.2,72.4,80.6,69.6,69.4,0,0.18,81.5,-5
3.9,20.35,93.1,71.2,79.7,71.6,69.1,0.47,0.19,81.7,-3.3
4.6,18.09,92.9,73.7,79.9,73.3,70,0.64,0.17,81,-0.8
4.8,18.02,86,68.8,75.2,81.3,68.7,0.69,0.16,80.4,0.6
5.7,4.53,69.9,65.3,67.8,89.8,64.6,0.35,0.04,76.8,3.6
3.2,7.8,73.9,66.8,70,86,65.5,0.08,0.07,74.8,4.7
4.1,19.74,81.5,66.1,72.1,80.8,65.3,0,0.17,75.6,1.2
3.7,23.97,83.6,72.9,74.3,74.5,65.1,0,0.22,76.5,-0.6
5.8,20.7,88.8,70.5,78.4,78.3,70.7,0.47,0.19,78.4,-2.8
4.3,21.68,94.1,70.3,81,71.9,70.2,0.18,0.2,80.2,-4.5
5.2,23,89.5,71.9,80.4,71.2,69.6,0,0.22,81,-4.2
2.5,23.19,90.7,67.7,78.8,70.9,67.3,0,0.22,80.4,-3.2
5.6,22.6,80.9,63.4,73.2,66.4,60.8,0,0.2,79.5,-1.6
6.9,21.59,75.3,58,67.1,69.4,56.3,0,0.18,76.8,-0.9
5.4,19.82,80.6,59.8,70.3,65.5,57.6,0,0.17,75.9,-0.2
3,7.78,75.1,66.8,70.2,80.3,63.7,0.12,0.07,75.6,1
2.8,14.03,84.8,66.1,74.1,81.6,67.8,0.03,0.12,75.7,0.2
3.2,22.65,88,63.9,74.5,72.7,63.5,0,0.21,76.8,-0.9
2.6,22.45,91.8,60.3,75.9,65.4,61.3,0,0.21,77.2,-0.9
4,22.85,86.8,65,75.9,63.4,61.3,0,0.21,77.9,-0.5
6.5,10.64,78.3,65.8,71.8,63.9,58.5,0,0.1,75.9,1.8
3.4,23.76,84.6,61,71.4,67.5,58.6,0,0.21,75.7,2
5,23.48,85.9,60.6,73.6,54.4,54.3,0,0.22,76.6,1.5
3.8,22.98,88.8,57.5,73,51.8,52.2,0,0.22,75.9,2.4
2.4,23.35,87.2,56.4,70.9,58.6,53.2,0,0.21,75.9,2.9
3,22.65,89.5,56,75,49.9,53.2,0,0.21,76.3,2.9
4,21.63,87.8,66,75.9,52.6,56.1,0,0.2,77.4,1.2
2.9,21.72,88.6,61.3,75,58.3,58.1,0,0.2,77.7,0.9
2,14.66,90.6,63.9,76.1,65.1,62.1,0,0.14,77.7,-1.4
3.4,19.94,92.8,64.9,75.6,65.7,60.8,0.13,0.19,78.1,-7.2
2.3,19.59,90.1,64.2,76.8,68.5,64,0,0.18,78.3,-9.4
3.6,17.43,93.3,71.2,81,56.9,62.8,0,0.17,78.8,-10.4
4.3,17.1,92.4,69.6,79.3,59.1,62.4,0,0.16,79.2,-8.7
5.1,19.17,92.6,66.5,78.8,51.9,57.7,0,0.18,78.6,-5.6
7.9,16.17,93.8,68.8,77.5,59.3,61,0.09,0.16,78.6,-5
4.1,8.41,78.6,62.1,69.1,78.3,61.5,0.43,0.07,76.3,-3.4
6,2.2,64.1,60.2,61.7,84.9,57,0.53,0.02,70.9,3.4
5.1,5.6,69.2,55.1,61.9,85.3,57.2,0.01,0.05,68.9,3.8
2.1,20.51,80.6,50.3,64.6,72.5,54.3,0,0.17,68.4,3.9
5.4,18.17,85.1,59.6,71.2,70.6,60.3,0,0.16,70.5,2.7
8.1,15.35,93.4,66.6,75.2,74.8,65.5,0,0.15,73,-0.9
2,17.79,84.7,61.7,70.9,76.7,62.1,0,0.16,73.6,-3.8
3.6,20.16,87.2,58,73.2,65.6,58.8,0,0.19,72.9,-4
7.6,17.95,95.1,70.9,81.7,60.7,64.9,0,0.18,74.3,-9
7.7,5.07,72.9,64,66.7,85.1,62.1,1.11,0.04,72.7,-9.4
4,13,89,64.5,75,71.1,63.9,0,0.12,72.3,-7.7
5.2,4.43,76,68.4,71.4,86.6,67.1,0.7,0.04,73.2,-6.3
6.3,8.87,71.9,58.2,66.2,81.3,60.1,0,0.08,72.1,-1.9
2.1,19.21,79.3,52.5,64.2,76.1,55.8,0,0.16,69.8,1.8
8.2,7.26,77.7,49.8,63.3,80.7,57,0.84,0.06,68.9,2.7
4.3,19.9,67.6,44.2,52.5,61,37.6,0,0.15,65.3,3.2
5,19.03,72.4,41.1,57.9,59.1,41.5,0,0.16,63.3,0.7
4.2,16.66,81.4,53.6,66.4,55.1,47.8,0,0.15,64.6,-2.5
6.3,10.62,82.9,63.1,73.8,75,64.9,0,0.1,66.9,-5.6
5.4,13.68,87,69.5,77.4,70.2,66.4,0,0.13,70.2,-8.1
5.1,13.82,88.5,69.1,77.4,69.3,65.8,0,0.13,71.6,-8.6
5.6,15.41,86.3,59.6,74.5,68.3,62.6,0,0.14,71.6,-7.6
9.4,17.31,59.7,43.9,51.6,60.5,37.9,0,0.12,68.5,-4.1
8.7,16.25,55.1,42.2,47.5,65.4,36.3,0,0.11,64,-0.1
7.6,15.38,57.3,40.7,48.9,68.1,38.3,0,0.11,62.1,1.8
5.5,15.98,66.5,40.6,53.1,66.5,41.5,0,0.12,61.3,0.9
4.6,11.54,66,46.8,57.2,73,48.4,0,0.09,62.1,1
2.9,4.08,62.7,55.7,58.8,78.7,52,0,0.03,63,0.9
2,15.56,71.6,53.4,61.2,75.2,52.7,0,0.13,64,0
3.1,12.78,74.4,51,60.3,76.8,52.2,0,0.11,64.4,-3.8
4,16.25,79.8,48.3,63.5,63.3,48.4,0,0.14,63.9,-6
4.8,16.75,71,48.6,60.1,45.9,37.6,0,0.14,63.9,-6.2
1.9,15.42,71,39.3,54.3,58.5,38.5,0,0.12,62.2,-6.4
5.6,12.06,82.5,51.8,66.7,50.4,46.9,0,0.11,63.1,-9.1
2.9,15.53,80.7,47.3,63.9,50.5,43.3,0,0.13,63.9,-11
7.6,13.15,71.3,48.3,62.4,58.9,47.3,0.34,0.11,64,-11.5
8.4,2.59,53.7,48.2,50.7,90.7,48,1.87,0.02,60.6,-7.2
